Job Title,Company,Location,Footer,Easy Apply,Job Type,Description,Experience Required,Salary Mentioned,Apply Link,Job ID,Job URL,Company-Title Hash
AI/ML Engineer,Veltris,India,Viewed | Promoted | Easy Apply,Yes,Full-time,"About the job
```html 
About the Company


Veltris is a Digital Product Engineering Services partner committed to driving technology-enabled transformation across enterprises, businesses, and industries. We specialize in delivering next-generation solutions for sectors including healthcare, technology, communications, manufacturing, and finance. With a focus on innovation and acceleration, Veltris empowers clients to build, modernize, and scale intelligent products that deliver connected, AI-powered experiences. Our experience-centric approach, agile methodologies, and exceptional talent enable us to streamline product development, maximize platform ROI, and drive meaningful business outcomes across both digital and physical ecosystems. In a strategic move to strengthen our healthcare offerings and expand industry capabilities, Veltris has acquired BPK Technologies. This acquisition enhances our domain expertise, broadens our go-to-market strategy, and positions us to deliver even greater value to enterprise and mid-market clients in healthcare and beyond.


About the Role


Position: AI/ML Engineer


Responsibilities


Prioritize Graph ML in the tech stack when sourcing but keep broader AI/ML engineers in scope.
Key stacks: LangChain, Strands Agent, LLMs, Graph ML.
Baseline: 8+ years exp, Python/Java, CI/CD (GitHub Actions/Jenkins), cloud (AWS serverless or Kubernetes), IaC (Terraform).

 Qualifications


Engineering graduates with a background in B.Tech/M.Tech, Ph.D., or Computer Science.

 


Pay range and compensation package- competetive

Equal Opportunity Statement


The information provided herein is for general informational purposes only and reflects the current strategic direction and service offerings of Veltris. While we strive for accuracy, Veltris makes no representations or warranties regarding the completeness, reliability, or suitability of the information for any specific purpose. Any statements related to business growth, acquisitions, or future plans, including the acquisition of BPK Technologies, are subject to change without notice and do not constitute a binding commitment. Veltris reserves the right to modify its strategies, services, or business relationships at its sole discretion. For the most up-to-date and detailed information, please contact Veltris directly.

```",8 years,N/A,N/A,LINKEDIN,4297074764,https://www.linkedin.com/jobs/search/?currentJobId=4297074764&f_TPR=r604800&keywords=Machine%20Learning%20OR%20ML%20Engineer%20OR%20Data%20Scientist%20OR%20AI%20Engineer&location=India,970ef194fdb3846f55fbcf8214a01668
AI/ML Engineer,Kreeda Labs,"Pune, Maharashtra, India",Viewed | Promoted | Easy Apply,Yes,Full-time,"About the job
Job Role: AI/ML Engineer
Job Type: Permanent Full time
Location: Pune (Hybrid)
Notice Period: Immediate Joiners
Experience: 1 to 4 years

 Job Description:
We are seeking a dynamic AI & Machine Learning Engineer to join our team. This role is pivotal in implementing AI and machine learning solutions on cloud-based platforms, staying abreast of emerging trends in AI, developing proofs-of-concept, and collaborating with internal and external stakeholders to transition concepts to production. Additionally, this role involves the application of engineering principles from the classical software development lifecycle to AI and machine learning.

 Key Responsibilities:
Develop AI & Machine Learning solutions on cloud-based platforms.
Identify, access, import, clean, and format data from various sources.
Implement research findings and custom models effectively.
Construct backend systems to interface with other microservices.
Train and optimize machine learning models for optimal performance.
Engineer scalable machine intelligence systems and infrastructure for real-world deployment.
Justify the application of AI/ML solutions based on problem statements.
Prototype solutions efficiently and deliver results promptly.
Manipulate data using SQL and scripting languages.
Collaborate with internal and external teams to design and deploy AI & ML solutions.
Explore emerging AI & Machine learning trends and develop prototypes.
Demonstrate effective communication and teamwork skills.

 Experience And Qualifications Required:
Proven experience in leading AI projects.
Proficiency in cloud deployment of AI solutions (AWS, GCP, or Azure).
Familiarity with Lang chain, advanced RAG applications, and Vector database.
Experience in developing advanced Gen AI solutions.
Strong analytical skills including data pre-processing and various ML techniques.
Expertise in model building, optimization, and data visualization.
Knowledge of major ML algorithms for Natural Language Processing, Computer Vision & Graph Networks.
Hands-on experience with cloud platforms like AWS/Microsoft Azure.
Proficient in SQL query development.
Familiarity with data platforms such as Snowflake is advantageous.
Knowledge of MLOps (Machine Learning Operations) is a plus.
Experience in advanced Computer Vision model development is beneficial.
Practical experience in deep learning projects is highly valued.
Ability to enhance the accuracy, runtime, scalability, and reliability of machine intelligence systems.
Proficient in understanding underlying mathematical concepts and algorithms.
Enthusiasm for continuous learning of state-of-the-art techniques in ML/Data science.",4 years,N/A,N/A,LINKEDIN,4299973144,https://www.linkedin.com/jobs/search/?currentJobId=4299973144&f_TPR=r604800&keywords=Machine%20Learning%20OR%20ML%20Engineer%20OR%20Data%20Scientist%20OR%20AI%20Engineer&location=India,59f08c1bbb0df14dd5f65e95e4455304
AI/ML Engineer,Abstrabit Technologies,"Bengaluru, Karnataka, India",Viewed | Easy Apply,Yes,Full-time,"About the job
Company Description

We specialize in building intelligent AI agents that transform the way businesses operate. Our focus is on designing AI-driven solutions tailored to real-world use cases across industries – from customer engagement and sales automation to knowledge management and workflow optimization. Beyond AI agents, we offer end-to-end expertise in developing custom chatbots, scalable knowledge bases, and integrating advanced AI/ML capabilities into existing platforms.

With innovation at the core, we are committed to helping businesses unlock efficiency, scale with intelligence, and deliver exceptional user experiences powered by the latest advancements in AI.

Job Description

Are you passionate about designing, building, and deploying intelligent systems that deliver real value? Abstrabit is seeking a motivated and skilled AI/ML Engineer to join our growing team at our Bengaluru office.

In this role, you will be instrumental in developing and implementing sophisticated AI/ML solutions for our diverse clients. You'll work on projects involving custom chatbots, knowledge management, generative AI, and the integration of ML models into full-stack applications. This is a fantastic opportunity for engineers with foundational experience (0-3 years) to apply their skills to challenging problems and grow within a dynamic AI consulting environment.

Responsibilities:

Design & Develop: Design, develop, train, and deploy machine learning models and AI solutions, including custom chatbots and knowledge-based systems. 
Integrate Solutions: Integrate state-of-the-art AI/ML models (NLP, Computer Vision, Generative AI, etc.) into client products and internal platforms. 
Build & Optimize: Build, manage, and continuously improve knowledge bases that power intelligent applications. 
GenAI Implementation: Develop, fine-tune, and evaluate generative AI models and functionalities for various applications. 
Full-Stack Contribution: Contribute to the development of full-stack applications by implementing and embedding core AI/ML features. 
Test & Validate: Develop testing protocols, perform rigorous debugging, and ensure the performance, scalability, and reliability of AI/ML models and applications. 
Research & Innovate: Stay current with the latest advancements in AI/ML research, tools, and techniques, evaluating their potential and applying them to solve business challenges. 
Collaborate: Work closely with consultants, software developers, and clients to understand requirements, define solutions, and deliver impactful results. 

Qualifications

Education: Bachelor's or Master's degree in Computer Science, Artificial Intelligence, Machine Learning, Data Science, or a closely related quantitative field. 
Experience: 0-3 years of professional hands-on experience in building and deploying AI/ML models and solutions. 
ML Fundamentals: Strong theoretical understanding and practical experience with core machine learning algorithms (supervised, unsupervised learning), deep learning concepts, and potentially NLP or computer vision. 
Programming: Proficiency in Python is essential, along with strong experience using relevant data science and ML libraries (e.g., Pandas, NumPy, Scikit-learn). 
ML Frameworks: Hands-on experience with major ML/DL frameworks such as TensorFlow, PyTorch, or Keras. 
Problem Solving: Excellent analytical and problem-solving skills with meticulous attention to detail. 
Communication: Strong verbal and written communication skills, with the ability to explain complex concepts clearly.",3 years,N/A,N/A,LINKEDIN,4299143695,https://www.linkedin.com/jobs/search/?currentJobId=4299143695&f_TPR=r604800&keywords=Machine%20Learning%20OR%20ML%20Engineer%20OR%20Data%20Scientist%20OR%20AI%20Engineer&location=India,3e65c752ed216d5f9a6da6e9e852f487
Data Scientist,Straive,"Mumbai, Maharashtra, India",Viewed | Promoted | Easy Apply,Yes,Full-time,"About the job
Key Responsibilities:
Design and maintain the Treasury Data Warehouse in collaboration with data engineers and technology teams
Develop advanced analytics models to support Global Treasury operations, bank management, forecasting, liquidity planning, and risk management
Build and enhance in-house treasury data applications while ensuring data integrity across systems
Collaborate with treasury colleagues to translate financial questions into analytical solutions
Drive adoption of new technologies (ML and GenAI) and conduct exploratory data analysis to support strategic initiatives
Support scenario modeling and stress testing for cash flow, FX exposure, and interest rate sensitivity
Document models, workflows, and data pipelines for transparency and reproducibility

Main skills/ requirements:
Bachelor’s or Master’s degree in Data Science, Finance, Economics, or a related field
Experience with BI tools such as Power BI, Qlik, or Tableau and strong proficiency in SQL and Python for data manipulation and modeling
Experience with statistical modeling and machine learning techniques
Advanced Excel skills, including Power Query and VBA and familiarity with machine learning (ML) and generative AI (GenAI) applications in finance
Knowledge of data warehousing concepts and ETL processes
Understanding of treasury functions, including cash management, FX, liquidity, and risk
Proficient in English, other languages are a plus

This is an exciting and challenging opportunity for an experienced treasury professional to join a highly successful and growing company and make a significant impact on the organization's financial performance. If you are a results-oriented individual with a strong track record in treasury analytics, we would love to hear from you.",N/A,N/A,N/A,LINKEDIN,4298591702,https://www.linkedin.com/jobs/search/?currentJobId=4298591702&f_TPR=r604800&keywords=Machine%20Learning%20OR%20ML%20Engineer%20OR%20Data%20Scientist%20OR%20AI%20Engineer&location=India,2f2cf80b8028465057bdb6d02fffb985
AI Engineer - Full Stack,Shapoorji Pallonji Finance Private Limited,"Mumbai, Maharashtra, India",Viewed | Promoted | Easy Apply,Yes,Full-time,"About the job
Job description
We are looking to grow our AI innovation lab team to expand the AI product lines already deployed with large financial institutions.
This is an exciting opportunity to work with some of the smartest domain experts to build AI-driven cutting-edge enterprise applications for the banking and financial services industry.

Role & responsibilities

Design, develop, and deploy end-to-end AI-driven applications using modern AI stacks.
Fine-tune and implement Large Language Models (LLMs) for practical use cases in BFSI.
Build intelligent multi-agent systems and multi-step reasoning pipelines.
Develop smart workflows using frameworks like LangChain, LangGraph, and similar tools.
Collaborate with cross-functional teams to integrate backend systems using FastAPI, Node.js, and other technologies.

Preferred candidate profile
- Hands-on experience with AI Agents and LLM-based applications
- Experience with LangChain, LangGraph, RAG pipelines
- Proficiency in Python, and experience with backend integration (e.g., FastAPI, Node.js)
- Understanding of LLM fine-tuning, deployment, and inference optimization


Role: Full Stack Developer
Industry Type: Financial Services
Department: Engineering - Software & QA
Employment Type: Full Time, Permanent
Role Category: Software Development
Education
UG: B.Tech/B.E. in Any Specialization, B.Sc in Data Science, Computer Technology, Maths, Computers, Statistics, Computer Science, Electronics, IT, BCA in Any Specialization",N/A,N/A,N/A,LINKEDIN,4301298039,https://www.linkedin.com/jobs/search/?currentJobId=4301298039&f_TPR=r604800&keywords=Machine%20Learning%20OR%20ML%20Engineer%20OR%20Data%20Scientist%20OR%20AI%20Engineer&location=India,4a29a59c7f91b31c50943512fc9a6760
Machine Learning Engineer,Talentorix,India,Viewed | Promoted,No,Full-time,"About the job
Job Title: Machine Learning Engineer
Job ID: RF438
Work Mode: Remote
Experience Required: Fresher
Salary Offered: ₹4 – 5 LPA
Job Type: Work From Home
Openings: 2
Start Date: Immediate

About the Role
We are seeking a Machine Learning Engineer to contribute to diverse projects involving operations, automation, and AI implementation. This role is ideal for candidates who are curious, adaptable, and eager to apply their technical skills to solve real-world business problems.

Key Responsibilities
Prototype and deploy AI workflows using tools such as n8n.
Develop custom AI agents and integrations tailored to business needs.
Write and adapt Python scripts to extend automation capabilities.
Tackle a wide range of challenges, from data-driven deal analysis to system optimization.
Collaborate on projects requiring creative technical problem-solving in fast-paced environments.

Qualifications
Proficiency in Python programming.
Interest or basic experience in machine learning and automation tools
Strong analytical skills and ability to identify patterns in complex data.
Adaptability to work on varied problems with evolving requirements.
Curiosity about emerging technologies, business systems, and AI applications.

What You’ll Gain
Practical experience in building and deploying AI-driven workflows.
Exposure to live business processes, automation, and deal analysis.
Opportunity to learn how advanced AI and automation drive operational efficiency.
Experience working in a dynamic and fast-paced environment.",N/A,"438
",N/A,LINKEDIN,4301105690,https://www.linkedin.com/jobs/search/?currentJobId=4301105690&f_TPR=r604800&keywords=Machine%20Learning%20OR%20ML%20Engineer%20OR%20Data%20Scientist%20OR%20AI%20Engineer&location=India,17ed0241821eec4a60665d40d53e3f9a
Machine Learning Engineer,Credira,"Bengaluru, Karnataka, India",Viewed | Promoted,No,Full-time,"About the job
About the Role
We are hiring an AI/ML Engineer to join our founding team in Bangalore. This is an onsite/hybrid role — we value in-person collaboration but allow flexibility when needed. You will own the AI/ML layer of Credira’s product: building LLM-powered outreach, compliance intelligence, and risk-scoring systems that directly impact recovery rates for SMEs. This is a 0→1 opportunity where you’ll define how AI replaces traditional collections teams.

Role Responsibilities
Develop and deploy ML models for outreach optimization, language & tone modeling, and invoice risk scoring.
Fine-tune and evaluate LLMs for negotiation, compliance, and collections workflows.
Build pipelines for structured (invoices, payments) and unstructured (emails, WhatsApp chats, voice transcripts) data.
Contribute to Voice AI agents (speech-to-text, TTS, emotion/sentiment analysis).
Work with software engineers to integrate ML models into production (APIs, webhooks, real-time inference) and continuously monitor and improve accuracy and performance.

Required Qualifications
2–5 years of applied AI/ML engineering experience.
Strong experience with Python, PyTorch/TensorFlow, Hugging Face.
Background in NLP/LLMs (dialogue systems, summarization, sentiment analysis).

Preferred Qualifications
Hands-on experience building end-to-end ML pipelines (data ingestion → training → deployment).
Familiarity with MLOps (Docker, CI/CD, inference optimization).

Good to Have
Experience with fintech, payments, or compliance-heavy domains.
Knowledge of Voice AI / speech technologies (ASR, TTS, sentiment/emotion analysis).

What We Offer
Bangalore-based role (onsite/hybrid) with founder-level collaboration.
Opportunity to own the AI stack end-to-end at a fast-growing fintech startup.
Work on a $16B+ global collections problem with immediate business impact.
Competitive salary + meaningful equity as an early team member.",5 years,$16,N/A,LINKEDIN,4301343051,https://www.linkedin.com/jobs/search/?currentJobId=4301343051&f_TPR=r604800&keywords=Machine%20Learning%20OR%20ML%20Engineer%20OR%20Data%20Scientist%20OR%20AI%20Engineer&location=India&start=25,12410c6c8b29806677a639ea56c6ec32
Generative AI Engineer,Zafify,"Bengaluru, Karnataka, India",Viewed | Promoted | Easy Apply,Yes,Full-time,"About the job
Generative AI Engineer
About This Role
We're seeking a passionate Generative AI Engineer & problem solver to join our world-class team of innovators who are pushing the boundaries of what's possible with artificial intelligence. You'll be at the forefront of cutting-edgeAI research and development, working on awesome projects.
What You'll Do
Core Responsibilities:
• Collaborate with cross-functional teams to translate complex AI concepts into practical business solutions.
• Design systems around open source, enterprise models like Llama, Gemini, GPT to solve innovative problems.
• Build robust evaluation pipelines to assess model performance, safety, and alignment with business objectives.
• Optimize model latency and performance for real-time applications and large-scale deployment
• Architect scalable ML infrastructure for training, inference, and model serving
• Fine-tune Large Language Models (LLMs) and other transformer-based architectures
• Ability to explain complex AI concepts to technical and non-technical stakeholders
What We're Looking For
Experience Requirements:
• 6+ years of overall data science or ML experience.
• 1.5+ years of hands-on experience with generative AI and large language models.
• Advanced degree in Computer Science, Machine Learning, or related field.
• Experience in taking ML/DL model to production.
 ️ Technical Expertise:
 • Python, C++ or any other high-level language.
• PyTorch and TensorFlow.
• Experience with Hugging Face Transformers, LangChain, LlamaIndex, Pydantic AI
• Deep Learning fundamentals: neural networks, backpropagation, optimization
• Generative AI frameworks: OpenAI API, Anthropic Claude, Google Gemini, local LLM deployment
• Model architectures: Transformers, attention mechanisms, encoder-decoder models
• Fine-tuning techniques: LoRA, QLoRA, full parameter fine-tuning, RLHF
• Design and implement comprehensive evaluation pipelines
• A/B testing for AI systems and statistical significance testing
• Latency optimization techniques: model quantization, pruning, distillation
• Experience with MLOps tools: MLflow, Weights & Biases, DVC
 What We Offer
Cutting-Edge Technology:
• Access to premium GPU clusters A100s for training and experimentation
• Latest hardware and software tools to support your research and development
• Freedom to explore breakthrough AI technologies and methodologies
• Work on groundbreaking problems that haven't been solved before
• Collaborate with world-class researchers and engineers from top universities and tech companies
• Contribute to open-source projects and publish your research
  Keywords
 Python, Gen AI, LLM, Deep Learning, MLOps, LoRA, QLoRA, PyTorch",6 years,1.5,N/A,LINKEDIN,4294426052,https://www.linkedin.com/jobs/search/?currentJobId=4294426052&f_TPR=r604800&keywords=Machine%20Learning%20OR%20ML%20Engineer%20OR%20Data%20Scientist%20OR%20AI%20Engineer&location=India&start=25,efd15e682d22e8923105104cc9e30cca
Machine Learning Engineer,Sitemate,South Asia,Viewed,No,Remote,"About the job
Thanks for stopping by and learning more about this role at Sitemate! ✨🏗️

We’d love to hear from you 👩‍💻👩🏽‍💻🧑🏿‍💻👨🏻‍💻

Brief Overview Of This Role

We’re looking for a Machine Learning Engineer to help us build AI products our customers will love. In this role, you’ll primarily be involved in architecting, building, training and deploying models that power our AI products. You’ll collaborate closely with product and design teams to experiment, ship fast, and bring new AI capabilities into production. This role is ideal for an engineer who enjoys end-to-end ownership, problem solving, and shaping how people interact with emerging AI technology.

Employment

Full-time
Based: Australia
Remuneration (including Super): AUD $115,000 - $200,000
With Sitemate's diverse blend of remote and city-based team members, we ensure fair compensation regardless of your location. Our approach is informed by data sourced from Numbeo, the world’s largest cost-of-living database, which helps us maintain consistent remuneration standards across various regions.
Through our Cost of Living Multiplier, based on Numbeo's findings, we provide guidelines for adjusting salaries to reflect the cost of living in different cities. This ensures that all team members enjoy comparable living standards, no matter where they are based.
Why should I consider joining Sitemate?

Check out Sitemate’s team at the offsite: Sitemate Offsite 2022, Sitemate Offsite 2023 & recently Sitemate Offsite 2024
You can see what people really think about working at Sitemate here: Working at Sitemate
2024 Podcast: CEO Hartley Pike on his personal journey, scaling Sitemate, diversity and culture at sitemate
2023 Podcast: Listen to CMO Lance Hodgson’s tips on how to supercharge your career
2022 Podcast: Listen to CEO Hartley Pike speak about the company’s founding and broader Go To Market strategy
2022 Podcast: Listen to CTO Tim Bray speak about building high quality features that solve customer problems at Sitemate
We have equal opportunity for applicants of all genders, ethnicities, ages, sexualities & people with disabilities - Sitemate's team is proudly diverse and accessible. 55% of our team identify as coming from underrepresented ethnic backgrounds. 43% identify as female. Our team ranges in age from 22 to 51 years old.
We're proud to have a global team with team members from Australia, Kenya, Brazil, France, Chile, United Kingdom, Ireland, Spain, Portugal, Vietnam, the Philippines, Kazakhstan, USA, Canada, Indonesia, Venezuela, Sri Lanka, and Uruguay.
Our office has fantastic on-site facilities including a rooftop garden, wellness centre, showers and cycle storage. The transport connections are excellent. Every Monday, the team enjoys a catered lunch together from one of the many nearby options.
You will be remunerated based on your performance. If you are performing well, you won’t need to wait 3 years or have to find better offers elsewhere to receive an increase to your remuneration. 7 out of the last 10 remuneration increases for Sitemate team members have been made pro-actively by management, without the individual needing to even raise the topic of remuneration.
You will get a laptop and a budget to set up your home office.
You will have visibility into the standardised career development plan for your role, and access to a professional learning and development budget.
You will get additional benefits and support as parents - with paid leave for both primary (min. 16 weeks) and secondary carers (min. 6 weeks) including adoption, as well as support and leave for the tragic circumstances of stillbirth or miscarriage.
You will have 20 days PTO, as well as paid compassionate & bereavement leave, sick & carer’s leave, and the ability to work from anywhere for a few weeks per year.
You will get equity options and ownership in Sitemate on a standard vesting schedule. See here for a general overview of how this works.
Sitemate has grown from 5 employees in 2018 to 150+, and we’re moving into the next stage of growth! We have a product that customers are strongly engaged with, and every month we get 1000s of new leads in our core/target regions with 0 cold calling and limited marketing spend (made possible by strong word-of-mouth and organic marketing efforts).
Sitemate’s founders have diverse backgrounds - one coming from engineering on major infrastructure projects; the second coming from product and graphic design. This brings a unique perspective internally where we blend deep industry experience with a passion (obsession) for modern best practices in product design.
Sitemate graduated from Australia’s #1 Technology Company Accelerator - Startmate.
Sitemate has strong financial backing from Blackbird (Australia and NZ’s #1 Vc), Shearwater Growth Capital & Marbruck Investments.
See info on our latest raise here.

What is the working environment like at Sitemate?

We are very transparent - monthly Allhands meetings provide the team with direct insight into team updates, customer stories, hiring plans and key metrics (NPS, Revenue, Financial Performance). During this Allhands meeting we also hear one ‘life story’ from one of our team each month - learning about different countries and cultures around the world.
We place an extremely high value on your time - you won’t be spending your days wasting time on fighting internal systems, botched together spreadsheet processes or doing data entry.
We use best in class systems that are seamlessly integrated to deliver our team the right information at the right time, allowing them to get their work done efficiently and to a very high standard.
You will have a core and close team around you, but you will also be exposed to and working directly with multiple departments - engineering, product, design, marketing, sales and customer success.
You will have a high degree of autonomy, as the focus is on outcomes and not hours. If you want to block off a few hours to run a personal errand or block off an hour to pick up the kids from school - no worries. No one will be monitoring your time.
We are constantly working to minimise the number of group meetings - daily check ins are all done asynchronously (in your own time) each morning. But spontaneous 1:1s or small sessions are strongly encouraged!

What does Sitemate do, exactly?

Sitemate builds best in class software products for the built world.
Industrial companies operating in the built world are facing a number of mission critical challenges - changes in work behaviour as Generation Z start to enter the workforce as mobile first users of software, and the drastic shift away from traditional mining to renewable energy projects such as wind farms and solar farms.
Our first product - Dashpivot, is a platform where industrial style companies streamline and standardise their processes in a new digital format. This new digital format enables them to complete and track work in the field on a mobile or tablet, and automate repetitive tasks and tracking through automated workflows and real-time analytics.

See Some Of Our User Reviews For Dashpivot Here

G2 Crowd
Trust Radius

What will I be doing on a day-to-day basis in this role?

Initial projects will focus on intelligent document processing and conversational AI interfaces.
Own full AI generation pipelines: data prep/labeling, model selection and fine-tuning, guarded generation.
Design and ship agentic flows using core product agents and use-case orchestration.
Build and maintain data pipelines to ensure clean, reliable, and scalable training datasets.
Collaborate with product managers, designers, and engineers to integrate AI into user-facing features.
Evaluate and integrate third-party AI services and APIs to accelerate development.
Deploy, monitor, and continuously improve model performance, accuracy and costs.
Conduct experiments to evaluate new features, algorithms, architectures, or approaches.
Document workflows, share insights, and contribute to best practices in applied machine learning.
Participate in code reviews and technical discussions, sharing knowledge and shaping engineering standards.

What will be the biggest challenges for me in this role?

Navigating emerging AI technologies: Working with rapidly evolving models, APIs, and frameworks where best practices aren’t always established yet.
Building in a new domain for the company: Helping define technical foundations, architecture, and standards for AI products in an area where the company doesn’t yet have deep prior experience.
Balancing experimentation with reliability: Exploring innovative AI capabilities while still delivering production-ready software that users can trust.
Finding creative solutions for data augmentation when working with limited labeled training data.
Managing cost and latency trade-offs when scaling AI features.

✅ Who This Role Is For

Enjoys working with emerging technologies (specifically AI) and thrives in areas where the playbook is still being written.
Cares deeply about creating best-in-class user experiences, not just backend logic.
Enjoys fast-paced work, getting stuff done, and running experiments that have high impact.
Someone who can work independently with minimal ML infrastructure in place.
Comfortable being the go-to ML expert and educating the broader engineering team.

🚫 Who This Role is Not For

If you want to focus only on backend or only on frontend work, without touching the full stack.
Someone who’s uncomfortable with ambiguity, rapid iteration, or shaping new product directions from the ground up.
Researchers focused purely on novel algorithm development without production considerations.

💡 What We Offer

Flexible hybrid work arrangements.
First ML hire with significant influence on technical direction.
Direct mentorship from engineering leadership.
Budget continuous learning.
Access to latest AI tools and platforms.
Opportunity to shape AI strategy.

Must Have

🎯 Skills & Tools

2+ years shipping production ML/AI features.
Strong Python for ML and working knowledge of TypeScript.
Experience with LLMs (fine-tuning, prompt engineering, evaluation).
Understanding of ML fundamentals (training/validation/test splits, overfitting, metrics like precision/recall).
Hands-on experience with structured data extraction from unstructured sources.
AWS cloud experience.

Nice To Have

Built agentic systems (e.g., LangGraph, Bedrock Agents/AgentCore, OpenAI Agents SDK) and/or MCP servers.
Experience with model quantization and optimization techniques.
MLOps: experiment tracking, model/version management, A/B or shadow testing, rollback strategies.
Experience building real-time voice features: speech recognition, conversational flow.
Experience with vector databases and RAG implementation.
Knowledge of prompt chaining and few-shot learning techniques.
Data privacy & security for AI workloads (PII handling, auditability, least-privilege IAM).

Essential Tools

AWS Cloud.
AI/ML Platforms: OpenAI API, AWS Bedrock.
Languages: Python (focus on relevant ML libraries), TypeScript/Node.js.
Version Control: Git, experience with LFS for large files.
Modern CI/CD: Github actions, AWS CDK.
Monitoring/observability: Any ML monitoring tools and observability platform

PLEASE Note

If you go on our website and enter your email, you will become a lead in our CRM. To avoid this, you can watch videos directly here
We do not use recruitment partners or services, so please save your time and don't reach out

Compensation Range: A$115K - A$200K",51 years,"$115,000 ",N/A,LINKEDIN,4299544034,https://www.linkedin.com/jobs/search/?currentJobId=4299544034&f_TPR=r604800&keywords=Machine%20Learning%20OR%20ML%20Engineer%20OR%20Data%20Scientist%20OR%20AI%20Engineer&location=India&start=25,05232d8ddfd7a70e67b1f85e75b16ea0
AI/ML Engineer,Cozzera,India,Viewed | Promoted | Easy Apply,Yes,Full-time,"About the job
AI/ML Engineer (Salesforce + Enterprise AI)
Experience: 6+ years
Location: Remote, Full-Time

Job Summary
We are seeking a highly skilled AI/ML Engineer with 6+ years of experience in building enterprise-grade AI solutions. The ideal candidate will have strong expertise in machine learning, LLMs, and Retrieval-Augmented Generation (RAG), with bonus points for experience in Salesforce development. This role focuses on enhancing Salesforce applications with AI-driven capabilities (Einstein GPT, custom AI models, cloud ML platforms), enabling real-time automation, intelligent insights, and next-gen customer experiences.
This is a unique opportunity to push enterprise AI beyond traditional tools and build impactful solutions across sales, service, and CRM workflows.

Key Responsibilities
AI/ML Development: Design, build, and deploy ML models for real-time automation, decision-making, and forecasting.
Salesforce + AI Integration: Embed AI/ML solutions within Salesforce CRM to enable intelligent data retrieval, scoring, recommendations, and workflow automation.
RAG Pipelines: Build and optimize Retrieval-Augmented Generation (RAG) pipelines using vector databases + LLMs for contextual insights inside Salesforce workflows.
Salesforce Development (Good-to-Have):
Extend Salesforce functionality with Apex (Triggers, Classes), LWC, Aura, Visualforce.
Develop and deploy custom Salesforce solutions (APIs, services, components).
AI/ML Platform Engineering:
Enhance Salesforce with AI using Einstein GPT and external AI frameworks (Python, AWS, Azure, GCP ML services).
Build and maintain data pipelines (preprocessing, feature engineering, structured/unstructured data ingestion).
Cloud & DevOps: Optimize AI workloads on AWS, Azure, or GCP; manage deployments with CI/CD pipelines (Git).
Security & Compliance: Ensure scalability, security, and compliance of models, especially for sensitive customer data.
Monitoring & Iteration: Track model accuracy, usage, and business impact; improve continuously via feedback loops.
Collaboration: Partner with product managers, Salesforce engineers, and data teams to deliver AI-powered enhancements.

Required Skills & Experience
6+ years of experience in AI/ML engineering, model development, and deployment.
Strong expertise in Python for AI/ML workflows.
Hands-on experience with LLMs, embeddings, RAG pipelines, and vector databases.
Understanding of cloud ML services (AWS SageMaker, Azure ML, GCP Vertex AI).
Proven experience in real-time decisioning and automation.
Familiarity with Salesforce Einstein/Einstien GPT or other CRM AI integration patterns.
Strong knowledge of CI/CD, Git, containerized deployments (Docker/K8s).
Ability to design secure, scalable, and production-ready AI systems.

Preferred / Good-to-Have
Salesforce development experience (Apex, LWC, Aura, Visualforce, Apex APIs).
Background in Salesforce customization & integration.
Prior experience in enterprise CRM or SaaS product AI integrations.",6 years,N/A,N/A,LINKEDIN,4301909547,https://www.linkedin.com/jobs/search/?currentJobId=4301909547&f_TPR=r604800&keywords=Machine%20Learning%20OR%20ML%20Engineer%20OR%20Data%20Scientist%20OR%20AI%20Engineer&location=India&start=25,409cd1d52f211fa36180b90287c99796
